CommodityCode,CommodityName
1,Animals; live
2,Meat and edible meat offal
3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
5,Animal originated products; not elsewhere specified or included
6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage"
7,Vegetables and certain roots and tubers; edible
8,"Fruit and nuts, edible; peel of citrus fruit or melons"
9,"Coffee, tea, mate and spices"
10,Cereals
11,"Products of the milling industry; malt, starches, inulin, wheat gluten"
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder"
13,"Lac; gums, resins and other vegetable saps and extracts"
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included
15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes
16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof"
17,Sugars and sugar confectionery
18,Cocoa and cocoa preparations
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products"
20,"Preparations of vegetables, fruit, nuts or other parts of plants"
21,Miscellaneous edible preparations
22,"Beverages, spirits and vinegar"
23,"Food industries, residues and wastes thereof; prepared animal fodder"
24,Tobacco and manufactured tobacco substitutes
25,"Salt; sulphur; earths, stone; plastering materials, lime and cement"
26,"Ores, slag and ash"
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
29,Organic chemicals
30,Pharmaceutical products
31,Fertilizers
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster"
35,Albuminoidal substances; modified starches; glues; enzymes
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations
37,Photographic or cinematographic goods
38,Chemical products n.e.c.
39,Plastics and articles thereof
40,Rubber and articles thereof
41,Raw hides and skins (other than furskins) and leather
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
43,Furskins and artificial fur; manufactures thereof
44,Wood and articles of wood; wood charcoal
45,Cork and articles of cork
46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork"
47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
48,"Paper and paperboard; articles of paper pulp, of paper or paperboard"
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
50,Silk
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
52,Cotton
53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn
54,Man-made filaments; strip and the like of man-made textile materials
55,Man-made staple fibres
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof"
57,Carpets and other textile floor coverings
58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery"
59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use"
60,Fabrics; knitted or crocheted
61,Apparel and clothing accessories; knitted or crocheted
62,Apparel and clothing accessories; not knitted or crocheted
